year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
1991,,laurie simmons,1949,far rockaway,new york,new york,new york,,,,,,,,,
1983,,lance kiland,1947,fargo,north dakota,minneapolis,minnesota,,,,,,,,,
1983,,t.i. solien,1949,fargo,north dakota,minneapolis,minnisota,paris,france,,,,,,,
2000,,Kojo Griffin,1971,Farmville,Va.,Atlanta,georgia,,,,,,,,,
1981,,william viola,1951,flushing,new york,new york,new york,,,,,,,,,
2014,,Miguel Gutierrez,1971,Flushing,NY,Brooklyn,NY,,,,,,,,,
1993,,kip fulbeck,1965,fontana,california,santa barbara,california,honolulu,hawaii,,,,,,,
2014,,Dashiell Manley,1983,Fontana,CA,Los Angeles,CA,,,,,,,,,
1973,,Christina Ramberg,1946,fort campbell,kentucky,Chicago,Illinoise,,,,,,,,,
1979,,christina ramberg,1946,fort campbell,kentucky,chicago,illinois,,,,,,,,,
2014,,Stephen Berens,1952,Fort Collins,CO,Los Angeles,CA,,,,,,,,,
1991,,mary kelly,1941,fort dodge,iowa,new york,new york,,,,,,,,,
2010,,Jim Lutes,1955,Fort Lewis,Washington;,Chicago,Illinois,,,,,,,,,
1981,,robert fichter,1939,fort meyers,florida,tallahassee,florida,,,,,,,,,
2000,,Jeremy Blake,1971,Fort Sill,Okla.,new york,new york,,,,,,,,,
1983,,mike glier,1953,fort thomas,kentucky,new york,new york,,,,,,,,,
1977,,bruce nauman,1941,fort wayne,indiana,pasadena,california,,,,,,,,,
1977,,bruce nauman,1941,fort wayne,indiana,pasadena,california,,,,,,,,,
1991,,bruce nauman,1941,fort wayne,indiana,pasadena,california,,,,,,,,,
1977,,stephen a. davis,1945,fort worth,texas,san francisco,california,,,,,,,,,
1981,,vernon fisher,1943,fort worth,texas,denton ,texas,,,,,,,,,
2000,,Brian Fridge,1969,Fort Worth,texas,fort worth,texas,,,,,,,,,
