year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
1975,,david mackenzie,1942,los angeles,california,san francisco,california,,,,,,,,,
1975,,william e. mahan,1942,boston,massachusetts,venice,california,,,,,,,,,
1975,,allan mcCollum,1944,los angeles,california,venice,california,,,,,,,,,
1975,,jan lee mcComas,1947,huntington,west virginia,dallas,texas,,,,,,,,,
1975,,todd mckie,1944,boston,massachusetts,cambridge,massachusetts,,,,,,,,,
1975,,george miller,1944,wooster,ohio,culver city,california,,,,,,,,,
1975,,judith suzanne miller,1943,bucyrus,ohio,los Angeles,california,,,,,,,,,
1975,,scott miller,1947,new york,new york,boston,massachusetts,,,,,,,,,
1975,,rudolph montanez,1942,fresno,california,fresno,california,,,,,,,,,
1975,,philip mullen,1942,akron,ohio,columbia,south carolina,,,,,,,,,
1975,,hiroshi murata,1941,tokyo,japan,new york,new york,,,,,,,,,
1975,,hass murphy,1950,boston,massachusetts,new york,new york,,,,,,,,,
1975,,paula nees,1950,madison,wisconsin,middleton,wisconsin,,,,,,,,,
1975,,stuart nielson,1947,chicago,illinois,minneapolis,minnesota,,,,,,,,,
1975,,rob roy norton jr.,1948,louisville,kentucky,new york,new york,,,,,,,,,
1975,,mary mcLean Obering,1937,shreveport,louisiana,new york,new york,,,,,,,,,
1975,,carl palazzolo,1945,torrington,connecticut,holliston,massachusetts,,,,,,,,,
1975,,lan payne,1948,south bend,indiana,san francisco,california,,,,,,,,,
1975,,james perry,1947,new york,new york,new york,new york,,,,,,,,,
1975,,judy pfaff,1946,london,england,columbus,ohio,,,,,,,,,
1975,,tomaso puliafito,1933,new york,new york,new york,new york,,,,,,,,,
1975,,cherie raciti,1942,chicago,illinois,san francisco,california,,,,,,,,,
1975,,kaare rafoss,1941,flekkefjord,norway,new york,new york,,,,,,,,,
1975,,david reed,1946,san diego,california,new york,new york,,,,,,,,,
1975,,roland reiss,1929,chicago,illinois,venice,california,,,,,,,,,
1975,,gregg renfrow,1948,san francisco,california,san francisco,california,,,,,,,,,
1975,,philip renteria,1947,laredo,texas,houston,texas,,,,,,,,,
1975,,bill richards,1936,grantsville,west virginia,philadelphia,pennsylvania,,,,,,,,,
1975,,judy rifka,1946,brooklyn,new york,new york,new york,,,,,,,,,
1975,,frank rivera,1939,cleveland,ohio,new brunswick,new jersey,,,,,,,,,
1975,,george rodart,1943,los angeles,california,venice,california,,,,,,,,,
1975,,john scott roloff,1947,portland,oregon,lexington,kentucky,,,,,,,,,
1975,,edward ross,1926,clinton,south carolina,roswell,georgia,,,,,,,,,
1975,,barbara rossi,1940,chicago,illinois,chicago,illinois,,,,,,,,,
1975,,barbara quinn roth,1938,los angeles,california,altadena,california,,,,,,,,,
1975,,edwin rothfarb,1950,new york,new york,boston,massachusetts,,,,,,,,,
1975,,paul rotterdam,1939,wiener neustadt,austria,new york,new york,,,,,,,,,
1975,,ursula schneider,1943,switzerland,switzerland,san francisco,california,,,,,,,,,
1975,,john schnell,1941,st. louis,missouri,new york,new york,,,,,,,,,
1975,,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1975,,samuel scott,1940,chicago,illinois,santa fe,new mexico,,,,,,,,,
1975,,rudy serra,1948,san francisco,california,san francisco,california,,,,,,,,,
1975,,charles simonds,1945,new york,new york,new york,new york,,,,,,,,,
1975,,alexis smith,1949,los angeles,california,venice,california,,,,,,,,,
1975,,andrew spence,1947,bryn mawr,pennsylvania,los Angeles,california,,,,,,,,,
1975,,earl staley,1938,oak park,illinois,houston,texas,,,,,,,,,
1975,,barbara strasen,1942,brooklyn,new york,san diego,california,,,,,,,,,
1975,,gene sturman,1945,new york,new york,venice,california,,,,,,,,,
1975,,susanna tanger,1942,boston,massachusetts,new york,new york,,,,,,,,,
1975,,robert thiele,1941,milwaukee,wisconsin,miami beach,florida,,,,,,,,,
1975,,richard thompson,1945,mcMinnville,oregon,albuquerque,new mexico,,,,,,,,,
1975,,ken tisa,1945,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1975,,alan turner,1943,bronx,new york,new york,new york,,,,,,,,,
1975,,alan uglow,1941,luton,england,new york,new york,,,,,,,,,
1975,,carolynn umlauf,1942,austin,texas,new york,new york,,,,,,,,,
1975,,thomas m. uttech,1942,merrill,wisconsin,milwaukee,wisconsin,,,,,,,,,
1975,,mary warner,1948,sacramento,california,sacramento,california,,,,,,,,,
1975,,robert j. warrens,1933,sheboygan,wisconsin,baton rouge,louisiana,,,,,,,,,
1975,,sibyl l weil,1944,new york,new york,new york,new york,,,,,,,,,
1975,,john wenger,1940,salem,oregon,albuquerque,new mexico,,,,,,,,,
1975,,wanda westcoast,1935,seattle,washington dc,venice,california,,,,,,,,,
1975,,mark christian wethli,1949,westfield,new york,new york,new york,,,,,,,,,
1975,,edward r. whiteman,1938,buffalo,new york,new orleans,louisiana,,,,,,,,,
1975,,andrew wilf,1949,lynwood,california,lynwood,california,,,,,,,,,
1975,,donald roller wilson,1938,houston,texas,fayetteville,arkansas,,,,,,,,,
1975,,connie zehr,1938,evanston,illinois,chatsworth,california,,,,,,,,,
1975,,elyn zimmerman,1945,philadelphia,pennsylvania,berkeley,california,,,,,,,,,
1975,,billy adler,1940,new york,new york,los Angeles,california,,,,,,,,,
1975,,john nargolies,1940,new york,new york,new york,new york,,,,,,,,,
1975,,john arvanites,1943,pasadena,california,new york,new york,,,,,,,,,
1975,,george bolling,1946,columbus,ohio,san jose,california,,,,,,,,,
1975,,jim byrne,1950,chicago city,minnesota,minneapolis,minnesota,,,,,,,,,
1975,,juan downey,1940,santiago,chile,new york,new york,,,,,,,,,
1975,,terry fox,1943,seattle,washington,san francisco,california,,,,,,,,,
1975,,hermine freed,1940,new york,new york,new york,new york,,,,,,,,,
1975,,frank gillette,1941,jersey city,new jersey,new york,new york,,,,,,,,,
1975,,joel glassman,1946,bronx,new york,san francisco,california,,,,,,,,,
1975,,beryl korot,1945,new york,new york,new york,new york,,,,,,,,,
1975,,paul kos,1942,rock springs,wyoming,san francisco,california,,,,,,,,,
1975,,andy mann,1947,new york,new york,new york,new york,,,,,,,,,
1975,,anthony ramos,1944,providence,rhode island,east providence,rhode island,,,,,,,,,
1975,,allen ruppersberg,1944,brecksville,ohio,new york,new york,,,,,,,,,
1975,,ilene segalove,1950,los angeles,california,los Angeles,california,,,,,,,,,
1975,,john sturgeon,1946,springfield,illinois,venice,california,,,,,,,,,
1975,,bill viola,1951,flushing,new york,florence,italy,,,,,,,,,
